word	x	y	nearest
decided	-69.67302438841558	15.827923768474678	0.945
result	-5.083921674209258	-20.93888630559583	0.974
doral	39.56470931738344	-83.77495888414292	0.953
corrupt	-27.532970396111484	-66.5324327715807	0.960
financials	31.891648031747952	11.51276885517275	0.963
subject	-37.04405434390634	56.08504660318252	0.956
said	-71.14396119135098	-41.730246693641234	0.905
capacity	61.19611579638022	71.65429828776699	0.983
lots	-39.085579142723304	-91.44688093799229	0.901
away	-64.03715946526556	-84.39960577778022	0.909
irs	-36.59914821988687	88.09780132620895	0.991
gentleman	14.045746283674866	68.79066842914187	0.974
patients	44.75092106637273	81.06482195008198	0.959
ailes	-19.607383135612373	64.80116026644312	0.981
unable	-76.23584897300039	14.929123264042403	0.953
finger	33.300596797841514	77.40258595655074	0.968
cooperation	78.0279884458334	-10.668849887178975	0.944
hopefully	-68.85498210192951	-19.346192492874188	0.941
drawn	-1.4010883699255683	66.32891623487276	0.958
previous	-33.076717158515926	74.14958885246439	0.969
approach	23.74833791332065	74.1906046316078	0.962
discovery	-26.944138347841168	71.81169567733437	0.973
profitable	68.35011936891107	-14.179334589075818	0.918
we	-85.8487608144595	-62.72335192653715	0.817
omg	-21.015747100235465	60.359378966354086	0.982
extend	94.7864708192433	32.101178607720854	0.897
vows	75.12887199208599	10.812158905487944	0.935
weak	-29.422464293542333	-89.50928954478051	0.901
however	-60.6627818590656	9.524758377379856	0.982
wh	-6.598819832861795	-70.28633522449212	0.976
wear	-64.5575971534721	-15.96533086599541	0.975
dedication	14.649360599588448	56.937543959591636	0.958
news	-39.22887450368083	-64.74255605311369	0.821
motto	87.74640088609738	31.670361843790072	0.924
debt	-28.527928063577782	-97.85361641938289	0.932
electing	84.73154545634529	35.2031799701482	0.959
cop	77.49163539275628	-0.8738200287157615	0.955
protect	-83.13747434178711	-35.40664147546762	0.922
accident	-5.332524130572407	75.89265251018256	0.982
cow	81.4091556676616	3.7722202569421563	0.955
reported	-27.9397751141871	-57.66518686569801	0.946
fault	-19.366903595336627	44.6639314890652	0.978
ill	-24.592637946375373	-10.042276453181442	0.984
against	-75.98707203100433	-33.32264501400061	0.838
distinguished	41.535732211725396	68.3355284893717	0.987
players	8.332269371574398	-63.63852056596425	0.974
witnessing	89.66619960810503	7.945866623246099	0.944
games	-19.13523592794286	-16.194761148919916	0.967
planned	-28.427129706284624	-10.221211435498324	0.978
lookin	72.22898237618384	40.36404284494744	0.984
faces	46.43314970379236	69.10123854466462	0.961
cherished	96.97768605568069	31.340636327307514	0.914
asked	-60.89187917688971	-39.93355082012665	0.945
con	-36.97112154744653	-9.421290841272532	0.977
negotiation	-20.368587286703494	-39.526793361100026	0.972
tough	-62.87461099844143	-70.47744571674335	0.920
character	-45.437900278052744	26.82578178932555	0.980
hardworking	8.99071510140221	72.25412957564862	0.984
epidemic	-0.410791012149466	53.9703863806016	0.970
active	15.31562766177979	69.67721268264071	0.935
karen	56.47632600066557	49.876098449777615	0.980
loaded	65.27387619838339	11.64233161909351	0.950
trust	-75.58014102353741	1.8175052732732293	0.924
fema	1.1953871098494928	-24.100786113999295	0.952
deesnider	11.294237433979513	74.79100902687539	0.987
speak	-97.77288865180721	-33.33410935201526	0.944
conference	41.57835938400183	-61.23484470279533	0.959
iraq	-28.650520578711767	-95.016167036459	0.959
targeting	13.096751586910413	82.53745546783236	0.983
jobless	-38.64710223323484	25.22068565100021	0.978
asks	-14.837424284639255	69.13020513096117	0.979
basis	-24.236248695619967	22.411579926115227	0.976
union	11.780146115712265	-54.79424983549085	0.971
referendum	104.02944590131706	2.8509083161134616	0.934
been	-68.83206142911922	-61.3437116626894	0.778
quickly	-34.58090435753664	-39.04990231285138	0.961
twain	-2.6557579426538616	68.43893046608197	0.989
confident	-43.60864358986986	38.378719827454056	0.979
much	-50.82943464692071	-68.29584052048715	0.831
dcsheriff	95.66584524900968	14.7570903888523	0.956
interest	-22.40319544225664	-84.98640346788994	0.964
basic	57.12615306787028	56.21353120142879	0.973
privilege	-20.030973756706018	67.94307600755329	0.963
entered	62.54280735583238	40.008628307916815	0.910
incompetent	-21.451646508589192	-65.71818047941859	0.956
threw	47.12890209015444	6.651548954196024	0.953
